Hours_Studied,Attendance,Parental_Involvement,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Gender,Exam_Score
24,98,High,No,8,66,High,Yes,2,Low,Medium,Public,1,Male,71
11,93,High,No,9,94,Medium,Yes,4,Low,High,Public,4,Male,69
16,94,Medium,No,7,76,Low,Yes,2,Medium,Medium,Public,3,Female,67
19,67,Low,Yes,8,98,Medium,Yes,2,Low,Medium,Private,2,Female,64
20,71,Medium,Yes,9,66,Medium,Yes,1,Medium,Low,Private,5,Female,63
24,71,Medium,Yes,6,52,Medium,Yes,2,Medium,Medium,Private,3,Female,66
21,71,High,Yes,8,57,Low,No,2,High,Medium,Public,1,Female,66
12,94,Low,Yes,6,61,Medium,Yes,3,High,High,Public,4,Male,69
22,61,Low,Yes,6,82,Low,Yes,4,Medium,Medium,Public,4,Female,64
24,63,High,No,8,59,Low,Yes,1,Low,Medium,Public,3,Male,62
23,71,Medium,Yes,7,69,High,Yes,3,Low,Medium,Public,5,Female,66
26,68,Medium,Yes,8,90,Medium,Yes,4,Low,High,Private,3,Male,70
25,69,High,Yes,7,56,Medium,Yes,2,Low,Medium,Private,4,Male,67
23,92,Low,No,8,54,Medium,Yes,0,High,Low,Public,1,Female,68
20,83,High,No,9,77,High,Yes,0,Low,Medium,Public,3,Male,67
10,60,Medium,No,9,85,Medium,Yes,0,Medium,High,Public,4,Male,62
23,77,Low,Yes,8,96,Medium,Yes,1,High,Medium,Private,1,Male,67
21,76,Medium,Yes,8,83,Medium,Yes,0,Low,Medium,Public,5,Male,68
22,65,Low,No,7,97,Low,Yes,2,Medium,High,Private,4,Female,64
12,87,Medium,Yes,7,62,Medium,No,2,Medium,Medium,Public,4,Female,64
14,88,Medium,No,8,67,Medium,Yes,2,High,Low,Public,3,Male,66
26,89,Medium,Yes,7,92,Medium,Yes,2,Low,High,Public,2,Male,72
20,89,Medium,Yes,8,91,Medium,Yes,2,Medium,Medium,Public,3,Female,72
24,60,Medium,Yes,9,83,High,Yes,2,Medium,Low,Public,3,Male,66
20,98,Low,No,7,75,High,Yes,4,Medium,Medium,Private,1,Male,72
20,93,High,Yes,4,51,Low,Yes,1,Medium,Medium,Public,3,Male,69
26,96,High,Yes,10,64,Low,Yes,2,Medium,Medium,Private,3,Female,72
17,61,Low,Yes,6,58,Medium,Yes,1,Medium,High,Public,4,Male,60
21,97,Medium,Yes,7,53,Medium,Yes,0,High,Medium,Public,2,Male,69
17,92,Medium,No,8,89,Medium,Yes,0,Low,Low,Public,3,Male,68
17,93,Low,Yes,9,57,High,Yes,3,Low,High,Private,2,Male,69
18,64,Medium,Yes,10,68,Low,Yes,1,Low,Medium,Public,5,Male,62
21,90,Medium,Yes,6,99,Low,Yes,2,Low,High,Public,2,Male,71
17,98,Medium,Yes,9,70,Low,Yes,1,High,Medium,Private,2,Male,70
28,87,Low,Yes,7,57,Medium,Yes,2,Medium,High,Private,4,Male,68
15,83,High,Yes,10,84,Medium,Yes,1,High,High,Public,2,Male,68
19,98,Medium,No,9,90,Low,No,1,High,Medium,Private,2,Female,70
17,78,Medium,No,7,64,Medium,Yes,0,Low,Medium,Private,3,Female,65
29,84,High,Yes,6,90,Medium,Yes,0,Medium,High,Public,3,Male,73
21,79,High,No,4,64,Low,Yes,0,Low,High,Public,4,Male,66
26,97,Medium,No,8,85,Low,No,2,High,Low,Public,3,Male,71
11,63,High,Yes,9,56,High,Yes,2,Medium,Medium,Public,3,Female,62
22,80,Medium,Yes,8,71,High,Yes,2,Low,Medium,Private,3,Female,68
25,87,Medium,No,4,76,Low,Yes,1,Low,High,Public,4,Male,70
20,92,Medium,No,5,86,Low,Yes,0,Medium,Medium,Public,2,Female,68
26,83,High,Yes,8,83,Medium,Yes,2,Low,High,Public,2,Female,71
17,96,Medium,Yes,10,93,Medium,Yes,2,Medium,Low,Public,4,Female,70
28,98,Medium,Yes,7,59,Medium,Yes,1,Low,Medium,Public,3,Male,72
34,63,Medium,Yes,9,83,Medium,Yes,2,Medium,High,Public,2,Male,69
18,76,Medium,No,5,56,Medium,Yes,1,Low,Low,Public,2,Male,63
17,61,Medium,No,7,74,High,Yes,0,Medium,Medium,Public,2,Female,62
29,73,Medium,No,7,76,Medium,Yes,2,Low,High,Private,3,Female,68
29,81,Low,Yes,9,51,Low,Yes,2,Medium,Medium,Public,5,Male,70
17,96,Medium,Yes,6,54,Medium,Yes,1,Medium,Medium,Private,4,Male,69
17,94,Medium,No,10,92,Low,Yes,2,Low,Medium,Private,2,Male,68
18,65,High,Yes,7,64,Medium,Yes,2,High,Medium,Public,1,Male,65
12,64,Medium,No,5,67,Medium,Yes,3,Low,Medium,Private,2,Male,59
14,84,Medium,No,5,82,Medium,Yes,3,Low,Medium,Public,3,Male,66
14,81,High,No,6,61,Low,Yes,0,Low,Medium,Public,4,Male,64
15,71,Low,No,8,60,High,No,5,Low,High,Public,4,Female,63
20,96,Medium,No,6,71,Medium,Yes,5,Low,High,Public,3,Male,72
21,97,Medium,Yes,6,53,Low,Yes,0,Low,Medium,Public,3,Male,67
29,76,Medium,No,8,96,Low,Yes,2,Low,Medium,Public,2,Male,94
14,96,Medium,Yes,4,97,Low,Yes,2,Medium,Medium,Public,3,Female,70
26,75,Low,No,6,72,Medium,Yes,0,Low,High,Public,3,Male,66
19,89,Low,Yes,5,60,Low,Yes,4,Medium,Medium,Public,2,Female,69
20,79,Medium,Yes,6,74,Low,Yes,2,Low,Medium,Public,2,Male,64
24,65,Medium,No,7,55,Low,Yes,1,Low,High,Private,3,Female,63
13,97,High,No,7,70,Medium,Yes,1,Low,High,Public,4,Female,71
22,78,High,No,7,54,Medium,Yes,1,Medium,Medium,Public,3,Male,65
21,89,Low,Yes,9,85,Low,Yes,1,Medium,Medium,Public,5,Female,68
23,75,Medium,No,7,64,High,Yes,1,Low,Medium,Public,3,Male,64
22,61,Low,Yes,10,76,High,Yes,1,High,High,Public,2,Male,64
35,64,Medium,Yes,8,51,Medium,Yes,2,Medium,Medium,Public,5,Male,66
16,80,High,No,6,76,Medium,Yes,1,Medium,High,Public,4,Male,68
17,88,Medium,No,10,50,Medium,Yes,3,Low,High,Public,5,Female,67
16,73,Low,Yes,7,96,Medium,Yes,1,Medium,Medium,Private,3,Female,66
17,88,Medium,Yes,10,75,Medium,Yes,2,Medium,Medium,Public,3,Male,68
16,88,Low,No,7,55,Medium,Yes,3,Low,Low,Public,3,Male,66
27,88,Medium,No,7,67,Medium,Yes,3,High,Medium,Public,4,Male,71
29,80,Medium,Yes,8,52,Medium,Yes,4,Low,Medium,Public,4,Female,71
17,97,Medium,No,7,77,Medium,Yes,0,Low,Medium,Private,4,Male,68
15,80,High,No,9,56,High,Yes,3,Medium,Medium,Public,3,Female,64
23,78,Medium,Yes,10,74,Low,Yes,3,Medium,Medium,Public,4,Male,67
17,68,High,Yes,4,65,High,Yes,0,Medium,Medium,Private,2,Male,64
24,72,High,Yes,8,88,High,Yes,3,Low,Medium,Public,2,Female,68
21,62,Medium,No,6,74,High,Yes,0,Low,High,Private,3,Male,62
11,85,Medium,Yes,4,92,Low,Yes,0,Medium,High,Public,1,Male,64
29,70,Low,No,8,97,Low,Yes,3,Low,High,Public,3,Male,70
31,72,Medium,No,8,98,High,Yes,0,Low,Medium,Public,4,Male,68
16,91,Medium,No,8,63,High,Yes,2,Medium,High,Public,3,Female,69
18,73,Low,Yes,8,88,Low,Yes,3,Low,Medium,Public,4,Male,65
22,70,Medium,Yes,8,72,Medium,Yes,2,High,Medium,Public,3,Male,67
22,67,High,No,6,71,Low,Yes,2,Medium,,Public,2,Male,65
24,91,High,No,7,93,Low,Yes,0,Medium,Medium,Public,2,Male,71
32,65,Medium,Yes,8,57,Low,Yes,2,Low,Medium,Public,3,Female,65
19,78,Medium,Yes,9,74,Low,Yes,2,Low,Medium,Public,5,Female,66
15,80,High,No,7,80,Medium,Yes,0,Low,Low,Public,5,Female,65
12,87,Medium,Yes,7,53,Low,Yes,2,Medium,Medium,Private,1,Male,65
16,85,Low,No,7,93,High,Yes,1,Medium,High,Public,3,Male,68
20,92,Medium,Yes,5,66,Medium,Yes,2,Medium,Medium,Public,2,Male,68
31,62,High,No,8,83,Medium,Yes,0,Medium,High,Private,2,Female,67
17,72,Low,Yes,5,96,High,Yes,3,High,Medium,Public,3,Male,65
21,71,Medium,No,8,86,Medium,Yes,2,Medium,High,Public,2,Male,66
20,66,Medium,Yes,7,94,Low,Yes,0,Medium,Low,Public,4,Female,63
27,72,High,Yes,5,53,Medium,Yes,1,High,Medium,Private,5,Male,70
35,72,High,Yes,5,75,Medium,Yes,1,Low,Medium,Public,5,Male,72
17,81,Medium,No,6,78,Medium,Yes,2,Low,Medium,Private,2,Male,67
17,87,High,Yes,6,84,Medium,Yes,0,Medium,Medium,Public,3,Male,67
26,75,Low,Yes,9,56,Medium,Yes,1,Low,Medium,Public,5,Male,66
24,89,Low,No,7,83,Medium,No,1,Low,Low,Public,3,Male,66
31,73,High,Yes,8,57,Medium,Yes,2,Low,High,Public,4,Male,69
24,72,Medium,Yes,9,53,Medium,Yes,0,Low,High,Private,4,Male,62
18,82,Low,No,9,73,Low,Yes,2,Low,Medium,Public,4,Female,66
24,61,Medium,No,7,80,High,Yes,0,Low,Medium,Public,3,Male,64
27,63,High,Yes,6,98,Medium,Yes,1,Low,High,Public,2,Female,67
25,77,High,No,8,85,Medium,Yes,2,Medium,Medium,Public,1,Male,71
23,98,High,Yes,6,80,Medium,Yes,1,Medium,Medium,Public,2,Male,73
26,89,Medium,Yes,10,61,Low,Yes,0,Medium,High,Public,3,Female,68
27,64,High,Yes,8,58,Medium,Yes,2,High,High,Public,1,Male,66
28,94,Medium,Yes,7,80,Medium,Yes,3,Low,High,Public,4,Male,75
24,89,Medium,Yes,8,61,Medium,Yes,1,Low,High,Public,3,Female,72
19,84,High,Yes,7,85,Medium,Yes,1,High,Medium,Private,3,Male,68
21,93,Medium,Yes,6,56,Medium,No,1,Low,Medium,Public,3,Male,68
27,76,Low,Yes,8,67,Medium,Yes,1,Medium,Medium,Public,4,Male,69
15,69,Medium,Yes,7,89,Medium,Yes,1,Low,High,Public,2,Female,63
22,80,Medium,Yes,10,92,Medium,Yes,0,Medium,High,Public,2,Female,70
18,82,Low,Yes,6,67,Low,Yes,1,High,Low,Private,3,Male,66
20,82,Low,Yes,8,60,Medium,Yes,3,Medium,High,Public,4,Male,66
28,83,Medium,No,6,98,Medium,Yes,1,Low,High,Private,2,Male,72
21,98,Low,No,6,88,Medium,Yes,1,Medium,Low,Public,3,Male,71
20,96,High,No,4,90,Medium,Yes,3,Low,Medium,Private,2,Male,72
12,95,Medium,No,8,61,High,Yes,4,High,High,Private,1,Male,69
24,92,Low,Yes,6,71,Low,Yes,2,Low,High,Public,2,Male,71
24,98,Medium,No,9,53,Medium,Yes,3,High,Low,Private,2,Male,69
33,64,High,No,8,55,Medium,Yes,1,Medium,High,Public,3,Female,68
18,71,Low,Yes,7,61,Low,Yes,2,Low,Medium,Public,4,Male,61
21,80,Medium,No,5,65,High,Yes,2,Medium,Low,Private,1,Male,68
21,94,High,Yes,8,100,Low,Yes,0,Low,Medium,Public,3,Male,72
29,80,Medium,Yes,6,71,Medium,Yes,0,Medium,Medium,Public,3,Female,70
19,90,High,Yes,5,85,High,Yes,0,Medium,High,Private,5,Female,73
22,66,Medium,No,8,95,Low,Yes,3,Medium,Medium,Private,3,Female,67
24,70,Medium,No,5,62,Medium,Yes,2,Low,Medium,Private,4,Male,65
21,89,Medium,No,4,57,Medium,Yes,1,High,Medium,Private,2,Female,68
17,67,Low,Yes,9,62,High,Yes,3,Medium,Medium,Public,3,Male,65
21,74,High,No,6,94,Medium,Yes,1,Low,High,Public,1,Male,97
26,71,High,Yes,4,83,Low,Yes,1,Medium,Medium,Public,3,Male,66
14,74,High,Yes,6,73,High,Yes,2,Medium,Medium,Private,3,Female,67
21,88,High,No,6,91,Medium,Yes,2,High,Medium,Public,1,Female,70
16,75,High,Yes,9,62,Medium,Yes,3,Low,Medium,Public,4,Female,66
27,82,Medium,Yes,5,62,Low,Yes,1,Low,High,Private,4,Female,69
11,64,High,Yes,5,78,Low,Yes,2,Low,High,Private,4,Male,62
17,92,Medium,Yes,8,90,High,Yes,1,High,Low,Public,3,Male,68
22,75,Medium,Yes,6,63,Low,Yes,1,Low,Medium,Public,2,Male,67
29,86,Medium,Yes,7,61,Medium,Yes,0,Medium,Medium,Public,4,Female,68
20,89,High,Yes,6,74,Medium,Yes,1,Low,High,Private,2,Male,69
17,68,Medium,Yes,10,57,Medium,Yes,1,High,Medium,Private,1,Female,62
31,95,High,Yes,5,87,Medium,Yes,2,Low,Medium,Public,3,Male,75
11,85,Medium,No,7,79,Low,Yes,2,High,Low,Public,3,Male,65
7,77,High,No,9,76,Medium,Yes,2,Medium,High,Public,3,Male,63
23,67,High,No,6,94,Low,Yes,1,Medium,Medium,Public,2,Male,66
17,98,Low,No,6,87,High,No,3,Medium,Medium,Private,5,Female,71
14,90,High,Yes,8,57,Medium,Yes,0,Medium,Medium,Public,3,Male,66
24,68,Medium,No,9,71,Medium,Yes,2,Medium,Medium,Public,4,Male,66
21,74,Medium,No,6,66,Low,Yes,1,Medium,High,Private,4,Male,66
17,92,High,Yes,9,90,Medium,Yes,1,High,Low,Public,3,Male,71
12,88,Medium,Yes,7,86,High,Yes,3,Medium,High,Public,3,Male,68
25,91,Medium,No,8,74,High,Yes,1,Medium,High,Private,3,Male,71
24,78,Medium,Yes,9,91,Low,Yes,0,High,High,Public,3,Female,68
19,89,Low,No,8,71,Medium,Yes,2,Low,High,Public,4,Male,68
31,75,Medium,No,7,90,Low,Yes,2,Medium,High,Public,2,Male,68
14,68,Medium,Yes,6,52,Medium,Yes,2,Low,Medium,Public,2,Male,62
11,85,High,Yes,10,57,High,Yes,0,Medium,High,Public,5,Male,65
16,99,Low,No,6,88,High,Yes,2,Low,Low,Public,3,Male,71
20,72,Medium,Yes,7,56,Low,Yes,0,Low,Medium,Public,6,Male,63
21,78,High,No,8,84,Low,Yes,1,High,Low,Public,4,Male,68
19,87,High,Yes,8,86,Low,Yes,1,Medium,High,Public,4,Female,69
22,82,High,No,10,83,Medium,Yes,1,Low,High,Private,2,Male,69
12,94,Medium,Yes,7,91,Low,Yes,3,Medium,Medium,Private,3,Female,71
29,90,Medium,No,7,76,Medium,Yes,0,Low,Medium,Public,1,Female,71
20,62,Medium,Yes,9,95,Low,Yes,0,Medium,Medium,Private,3,Male,62
27,100,Low,Yes,7,78,Low,Yes,2,Medium,Medium,Public,2,Male,70
22,90,High,No,8,75,High,Yes,1,Low,Low,Private,3,Male,70
23,95,Medium,Yes,7,75,Medium,Yes,2,High,Medium,Public,2,Male,73
23,86,Medium,Yes,8,96,Low,Yes,3,Medium,Medium,Private,2,Female,71
23,94,Medium,Yes,8,62,Medium,Yes,2,Low,Medium,Public,0,Female,69
24,64,Medium,Yes,6,85,High,Yes,0,High,Low,Private,3,Male,66
28,74,Medium,Yes,4,62,Medium,Yes,1,Low,Medium,Private,3,Male,65
21,95,High,No,4,55,Medium,Yes,2,Medium,High,Private,1,Male,71
24,68,Medium,Yes,4,98,High,Yes,2,Medium,High,Public,2,Male,68
19,63,Medium,Yes,7,56,Medium,Yes,2,Low,Medium,Private,3,Female,64
29,92,Low,Yes,4,84,Medium,Yes,2,Low,Medium,Public,3,Male,71
16,93,Low,No,7,71,Medium,Yes,0,Medium,High,Public,2,Male,67
31,67,Medium,No,7,92,High,Yes,2,Medium,Medium,Public,3,Female,66
20,94,Low,Yes,8,89,Medium,Yes,1,Low,Medium,Public,4,Male,71
11,87,Low,No,8,57,High,Yes,0,Low,Medium,Public,2,Male,62
21,81,High,No,8,73,Medium,Yes,3,Low,Medium,Public,2,Male,67
16,93,Medium,Yes,8,51,Medium,Yes,3,Low,Medium,Public,2,Male,67
25,77,Low,Yes,7,71,Medium,Yes,0,Medium,Medium,Public,3,Female,66
16,68,Low,Yes,7,85,High,Yes,1,Low,High,Private,3,Female,64
17,71,Low,Yes,6,62,Medium,Yes,2,Low,Medium,Public,3,Male,62
9,80,Medium,No,7,91,Low,Yes,1,Medium,Medium,Public,3,Female,65
17,81,Medium,Yes,5,53,Low,Yes,0,Medium,Medium,Public,1,Male,63
5,92,Medium,Yes,9,52,Medium,Yes,2,High,Medium,Private,4,Female,64
10,92,Low,Yes,6,51,Low,Yes,1,Medium,Medium,Private,3,Female,65
25,83,Medium,No,7,64,Medium,Yes,0,Low,Medium,Public,2,Male,68
25,91,Medium,Yes,7,73,Medium,Yes,2,Low,Medium,Public,3,Female,72
23,68,Medium,Yes,9,55,Medium,Yes,0,Low,Medium,Public,3,Male,64
14,62,High,No,4,100,Low,Yes,1,Low,Medium,Public,3,Male,62
20,95,Medium,Yes,7,100,Low,No,3,Low,Medium,Private,2,Female,69
20,63,Low,Yes,8,76,Medium,Yes,3,Medium,Medium,Public,4,Female,64
13,70,High,No,10,78,Medium,Yes,1,Low,Medium,Public,2,Female,61
29,88,Medium,No,7,96,Low,Yes,2,Low,Low,Public,2,Female,72
25,76,Medium,Yes,6,88,Low,Yes,1,Medium,Medium,Private,3,Male,66
19,95,High,No,10,58,Low,Yes,2,High,Medium,Public,3,Male,69
20,72,Medium,No,8,90,High,No,2,Low,Low,Private,2,Female,65
21,60,High,Yes,9,62,Medium,Yes,2,Low,Medium,Public,3,Male,64
8,72,Low,Yes,5,72,Medium,Yes,3,High,Low,Private,4,Female,62
19,83,Medium,No,8,77,High,Yes,1,Low,Medium,Public,4,Male,66
16,75,Low,Yes,5,86,Medium,Yes,0,Low,Medium,Public,1,Female,62
14,81,Medium,Yes,5,58,High,Yes,3,Low,High,Public,4,Male,66
18,95,Medium,No,8,54,Medium,Yes,2,High,Medium,Public,3,Female,70
31,96,Medium,Yes,8,93,Low,Yes,3,Low,Medium,Public,3,Male,75
24,71,Low,Yes,6,91,Medium,Yes,3,High,Medium,Public,2,Female,67
17,78,Low,Yes,9,76,Low,Yes,4,Medium,Medium,Public,2,Male,66
23,82,Medium,No,6,83,Medium,Yes,2,Medium,Medium,Private,3,Male,71
28,98,High,Yes,7,86,Medium,Yes,2,Medium,High,Private,2,Female,75
26,100,High,No,7,74,Low,Yes,1,Medium,Medium,Public,2,Female,72
20,69,High,No,7,63,Low,Yes,2,Low,Medium,Private,2,Female,64
16,89,Medium,Yes,9,74,Medium,No,1,Low,Medium,Public,3,Male,65
24,75,Low,No,5,98,High,Yes,1,Low,Medium,Public,3,Male,67
22,60,Medium,No,6,92,Low,Yes,2,Low,High,Public,2,Male,63
25,60,Medium,Yes,5,73,Low,Yes,1,Medium,Medium,Public,2,Male,62
24,78,Low,Yes,10,61,High,Yes,2,Medium,Medium,Public,4,Female,69
26,80,Medium,Yes,7,94,Medium,Yes,1,Low,Medium,Private,2,Male,70
17,61,Low,Yes,6,82,High,Yes,0,Medium,High,Public,4,Male,63
28,87,Medium,Yes,7,70,Medium,Yes,2,Low,Medium,Public,2,Male,71
21,72,Medium,Yes,8,56,Medium,Yes,0,Low,Medium,Public,4,Male,63
32,82,Low,Yes,8,88,Low,Yes,0,High,Medium,Public,2,Male,71
16,72,Medium,Yes,6,66,Low,Yes,0,Low,Medium,Private,4,Male,63
30,67,Medium,Yes,6,80,High,Yes,0,Low,Medium,Public,4,Male,68
21,76,Medium,Yes,5,78,High,No,0,Low,High,Public,3,Male,65
16,69,High,Yes,7,85,Medium,Yes,0,High,High,Private,3,Female,66
17,81,Low,Yes,9,77,Medium,Yes,3,Low,Medium,Public,4,Male,66
18,68,High,No,6,82,Low,Yes,0,Medium,High,Public,3,Male,66
23,80,Low,Yes,8,54,Medium,Yes,0,Medium,High,Private,2,Female,65
23,66,Medium,No,6,83,Medium,Yes,0,High,Medium,Public,2,Female,66
17,87,Medium,Yes,5,60,Medium,Yes,4,Medium,Medium,Private,3,Female,67
20,90,High,No,8,70,Medium,Yes,0,Medium,Medium,Private,3,Female,68
33,64,Medium,Yes,10,76,Low,Yes,2,High,High,Private,3,Male,68
30,79,Low,No,8,84,Medium,Yes,3,Low,Medium,Private,3,Female,69
23,63,Medium,Yes,6,87,Low,Yes,1,Medium,Medium,Public,2,Male,64
20,84,Medium,No,6,85,Medium,Yes,0,Medium,Medium,Private,3,Male,67
21,71,Medium,Yes,10,55,Low,Yes,1,Medium,Medium,Public,4,Female,63
24,81,Low,Yes,7,69,Medium,Yes,3,Low,Medium,Public,3,Male,67
14,81,Medium,Yes,6,64,Low,No,2,High,High,Public,2,Female,64
18,97,Low,No,7,70,Low,Yes,0,High,Medium,Public,2,Female,66
10,82,High,No,7,82,Low,Yes,2,Low,High,Private,4,Male,65
22,83,Medium,Yes,8,60,Low,No,4,Medium,Medium,Public,2,Female,68
24,76,Low,No,9,75,Low,Yes,0,Low,Medium,Private,5,Male,66
17,98,High,No,9,94,Low,Yes,0,High,Low,Public,3,Male,71
29,91,Medium,Yes,7,87,Medium,No,2,Medium,High,Private,4,Female,74
13,71,Medium,No,7,86,Low,Yes,2,Low,Medium,Public,3,Male,65
11,94,Low,Yes,8,92,High,Yes,0,Medium,Medium,Public,4,Female,68
21,77,Medium,Yes,6,70,Low,No,2,High,Medium,Private,2,Male,68
26,93,Medium,No,8,88,Medium,Yes,1,Medium,High,Public,4,Male,72
30,93,High,Yes,7,53,Medium,Yes,3,Low,Medium,Private,2,Female,74
17,68,Low,No,8,53,Medium,Yes,0,Low,Medium,Public,2,Male,61
26,88,Low,No,10,67,Low,Yes,0,Low,Low,Private,3,Male,65
20,72,High,No,8,60,Low,Yes,0,Low,Medium,Public,5,Male,63
19,72,High,Yes,7,76,Medium,Yes,1,Medium,High,Public,2,Female,66
25,72,Low,Yes,6,59,Medium,Yes,2,Low,Medium,Public,3,Male,66
24,89,High,Yes,7,99,Medium,Yes,2,Low,High,Private,4,Female,73
11,69,Medium,No,5,93,Medium,Yes,0,Medium,High,Public,4,Male,63
29,60,High,Yes,8,99,Medium,Yes,0,Medium,Medium,Public,4,Female,68
28,89,High,Yes,4,90,High,Yes,3,Low,High,Public,2,Female,73
16,67,Low,Yes,8,98,Medium,Yes,0,High,Low,Private,3,Male,63
22,64,Medium,Yes,8,68,Medium,Yes,2,Medium,Medium,Public,4,Male,65
23,70,Low,Yes,7,75,High,Yes,0,Low,Medium,Public,4,Female,66
22,75,Low,Yes,6,62,Medium,Yes,0,High,High,Public,3,Female,65
17,79,Low,Yes,7,82,Medium,Yes,0,Medium,High,Public,2,Male,66
16,62,High,No,4,89,High,Yes,3,Low,Medium,Public,3,Female,65
20,99,Medium,No,8,75,Medium,Yes,2,Low,High,Private,2,Female,70
27,89,Medium,No,7,65,Medium,Yes,1,Medium,Medium,Public,3,Female,70
23,73,High,Yes,9,75,Medium,Yes,0,High,High,Private,3,Female,68
18,73,Medium,No,8,53,Medium,No,1,Low,High,Public,3,Male,64
25,78,Medium,No,7,86,Medium,Yes,1,Medium,Medium,Public,3,Female,68
3,85,Low,No,8,73,Low,Yes,2,Low,Medium,Private,3,Male,62
27,66,Medium,Yes,6,95,Medium,Yes,1,Medium,,Public,3,Male,68
10,68,Low,No,6,96,Low,Yes,1,High,Medium,Public,3,Male,61
18,94,High,Yes,7,56,Low,No,1,Low,Medium,Public,3,Male,69
13,70,Medium,Yes,7,100,Medium,Yes,3,Low,Medium,Public,3,Male,65
12,75,Medium,Yes,6,98,Medium,Yes,2,Low,Medium,Public,2,Male,65
27,95,Medium,No,7,81,Low,Yes,3,Low,Medium,Public,2,Male,72
17,87,Medium,Yes,7,91,High,Yes,3,Low,High,Public,3,Female,70
22,74,Medium,Yes,10,51,Medium,No,1,Medium,Medium,Private,4,Male,65
20,87,Medium,No,7,99,Medium,Yes,3,Low,Medium,Public,3,Male,69
23,61,High,Yes,6,73,Medium,Yes,1,Medium,Medium,Public,3,Male,65
20,89,Low,Yes,7,95,Low,Yes,3,Low,Medium,Private,2,Male,69
12,79,Low,Yes,9,69,Medium,Yes,2,Low,High,Public,3,Male,65
26,93,Medium,Yes,9,89,Medium,Yes,0,Low,Medium,Public,3,Male,72
17,98,High,Yes,10,71,Medium,Yes,0,Low,High,Private,3,Female,70
11,97,Medium,Yes,7,68,Low,Yes,0,Low,Medium,Private,2,Female,64
17,96,Medium,No,8,97,Low,Yes,0,Medium,Medium,Public,3,Female,67
29,80,Medium,No,5,85,High,Yes,0,High,High,Public,2,Male,69
25,74,Low,Yes,6,92,Low,Yes,4,Medium,Medium,Private,3,Male,70
18,79,Medium,Yes,5,77,Low,Yes,1,Low,High,Public,3,Male,65
18,88,High,Yes,8,96,Low,Yes,1,Low,Medium,Public,3,Female,69
18,95,High,Yes,7,87,High,Yes,5,Medium,Medium,Public,2,Male,74
32,68,Low,Yes,7,54,Medium,Yes,1,Low,Medium,Private,1,Male,66
22,97,Medium,Yes,6,88,High,Yes,1,Low,Low,Private,4,Male,72
23,93,Medium,Yes,8,51,High,No,0,Low,High,Private,1,Male,67
26,99,Low,Yes,4,91,High,Yes,2,High,Low,Public,4,Female,75
21,95,Medium,Yes,7,67,Medium,Yes,3,Medium,Medium,Public,2,Female,70
18,71,Low,No,7,80,Medium,Yes,1,Medium,Low,Public,4,Female,63
19,64,Medium,No,4,87,High,Yes,2,Medium,Medium,Private,4,Male,65
20,64,Medium,No,8,82,Medium,Yes,3,Medium,Low,Public,3,Female,64
20,72,Medium,No,7,84,Low,Yes,2,Medium,High,Public,2,Female,65
24,85,Medium,Yes,8,95,Medium,Yes,2,Medium,Medium,Public,4,Female,70
20,92,Medium,No,10,69,Medium,Yes,0,Low,Medium,Public,2,Male,67
24,96,Medium,Yes,7,77,Low,No,0,Low,Medium,Public,2,Female,67
20,85,Medium,No,8,59,Medium,Yes,1,Medium,Medium,Public,3,Female,68
20,60,Medium,No,9,73,High,Yes,4,Medium,Medium,Public,4,Male,65
8,67,High,Yes,8,58,Low,Yes,2,Medium,Medium,Public,1,Female,61
25,64,Medium,Yes,6,82,Low,Yes,2,Low,Medium,Public,3,Female,63
22,75,Medium,Yes,5,66,Low,Yes,2,Low,Medium,Public,2,Male,80
26,80,Medium,Yes,8,93,Medium,Yes,2,Low,Low,Public,1,Male,69
3,62,Medium,No,6,67,Medium,Yes,1,Low,Medium,Public,3,Male,55
33,74,Medium,No,9,64,Medium,Yes,2,Medium,Medium,Private,4,Female,70
19,67,Medium,Yes,6,75,High,Yes,1,Low,Medium,Public,3,Female,65
27,86,Low,Yes,7,59,Low,Yes,1,Medium,Medium,Public,3,Male,68
14,79,Medium,Yes,5,60,Medium,Yes,3,Low,Medium,Public,5,Male,64
24,80,Medium,No,6,89,Medium,Yes,1,Low,High,Public,3,Male,69
14,77,Low,No,6,75,Medium,Yes,1,Medium,High,Public,4,Female,89
16,98,Medium,Yes,6,60,Medium,Yes,1,Medium,Medium,Private,3,Male,67
31,69,Medium,No,7,52,Medium,No,2,High,Low,Public,5,Male,92
19,81,High,No,6,73,Low,No,1,Low,High,Private,3,Female,67
21,89,Low,Yes,10,87,Low,Yes,3,Medium,Medium,Public,3,Male,70
25,82,High,No,8,68,Medium,Yes,1,Low,High,Public,3,Male,68
23,97,Medium,Yes,9,62,Medium,Yes,0,Low,Medium,Private,2,Male,70
21,75,Medium,Yes,7,70,Low,Yes,3,Medium,Medium,Public,4,Male,67
22,79,Medium,Yes,7,98,High,Yes,0,High,Medium,Public,3,Male,69
34,64,Medium,No,6,71,High,Yes,0,Low,High,Private,4,Female,67
20,84,High,Yes,10,63,Medium,Yes,0,Low,Medium,Private,4,Female,69
21,72,Medium,No,7,78,Low,No,0,High,Medium,Public,1,Female,63
